,0
store_id,0
store_name,0
plaace_hierarchy_id,0
sales_channel_name_x,0
grunnkrets_id,0
address,1774
lat,0
lon,0
chain_name,9122
mall_name,10579
sales_channel_name_y,0
lv1,0
lv1_desc,0
lv2,0
lv2_desc,0
lv3,0
lv3_desc,0
lv4,0
lv4_desc,0
level2,0
level3,0
grunnkrets_name,30
district_name,30
municipality_name,30
geometry,30
area_km2,30
t_district,30
all_households,33
singles,33
couple_without_children,33
couple_with_children,33
other_households,33
single_parent_with_children,33
distance_to_lv1_desc,0
distance_to_lv2_desc,0
distance_to_lv3_desc,3
distance_to_lv4_desc,3
lv1_desc_in_radius,0
lv2_desc_in_radius,0
lv3_desc_in_radius,0
lv4_desc_in_radius,0
all_stores_in_radius,0
Cluster 0 similarity,0
Cluster 1 similarity,0
Cluster 2 similarity,0
Cluster 3 similarity,0
Cluster 4 similarity,0
Cluster 5 similarity,0
Cluster 6 similarity,0
Cluster 7 similarity,0
Cluster 8 similarity,0
Cluster 9 similarity,0
Cluster 10 similarity,0
Cluster 11 similarity,0
Cluster 12 similarity,0
Cluster 13 similarity,0
Cluster 14 similarity,0
Cluster 15 similarity,0
Cluster 16 similarity,0
Cluster 17 similarity,0
Cluster 18 similarity,0
Cluster 19 similarity,0
Cluster 20 similarity,0
Cluster 21 similarity,0
Cluster 22 similarity,0
Cluster 23 similarity,0
Cluster 24 similarity,0
Cluster 25 similarity,0
Cluster 26 similarity,0
Cluster 27 similarity,0
Cluster 28 similarity,0
Cluster 29 similarity,0
Cluster 30 similarity,0
Cluster 31 similarity,0
Cluster 32 similarity,0
Cluster 33 similarity,0
Cluster 34 similarity,0
Cluster 35 similarity,0
Cluster 36 similarity,0
Cluster 37 similarity,0
Cluster 38 similarity,0
Cluster 39 similarity,0
Cluster 40 similarity,0
Cluster 41 similarity,0
Cluster 42 similarity,0
Cluster 43 similarity,0
Cluster 44 similarity,0
Cluster 45 similarity,0
Cluster 46 similarity,0
